# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_3-100-time_quadratic.txt
# order     : 3
# steps     : 100
# skip_type : time_quadratic
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99981529    0
# 0.99969620    1
# 0.99953145    2
# 0.99930996    3
# 0.99901235    5
# 0.99862993    7
# 0.99813807    8
# 0.99751961   10
# 0.99675131   13
# 0.99580753   15
# 0.99466693   18
# 0.99329579   20
# 0.99166685   23
# 0.98974973   26
# 0.98750734   30
# 0.98490953   33
# 0.98191702   37
# 0.97849500   41
# 0.97460449   45
# 0.97020745   49
# 0.96526349   54
# 0.95973396   58
# 0.95357776   63
# 0.94675821   68
# 0.93923765   73
# 0.93097502   79
# 0.92194039   84
# 0.91209573   90
# 0.90141374   96
# 0.88986635  102
# 0.87742943  109
# 0.86408037  115
# 0.84980732  122
# 0.83459920  129
# 0.81845039  136
# 0.80136335  143
# 0.78334761  151
# 0.76441401  158
# 0.74458891  166
# 0.72390139  174
# 0.70238960  182
# 0.68009895  191
# 0.65708250  199
# 0.63340271  208
# 0.60912895  217
# 0.58433783  226
# 0.55911332  235
# 0.53354198  245
# 0.50772280  255
# 0.48175344  265
# 0.45573676  275
# 0.42977899  285
# 0.40398845  295
# 0.37847048  306
# 0.35333231  317
# 0.32867697  328
# 0.30460387  339
# 0.28120822  350
# 0.25857562  362
# 0.23678829  374
# 0.21591711  386
# 0.19602349  398
# 0.17716001  410
# 0.15936618  423
# 0.14267248  436
# 0.12709635  448
# 0.11264504  461
# 0.09931426  475
# 0.08708974  488
# 0.07594710  502
# 0.06585332  516
# 0.05676719  530
# 0.04864064  544
# 0.04142054  558
# 0.03504879  573
# 0.02946457  588
# 0.02460498  603
# 0.02040648  618
# 0.01680579  633
# 0.01374107  649
# 0.01115256  664
# 0.00898346  680
# 0.00718039  696
# 0.00569389  713
# 0.00447862  729
# 0.00349358  746
# 0.00270215  763
# 0.00207191  780
# 0.00157460  797
# 0.00118584  814
# 0.00088481  832
# 0.00065396  850
# 0.00047868  868
# 0.00034693  886
# 0.00024891  904
# 0.00017675  923
# 0.00012419  941
# 0.00008633  960
# 0.00005936  979
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11533184216619472266
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:1800.504984 = 1800.504969 + 0.000015
# loss_var     : 2267.392653 => 1800.504969
# model.learning_portion: 0.01
# model.out_channels    : 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999637:   2: 0.999637; 0.000363*1355.439241= 0.492688;  0.492688/0.999637=  0.492867
0.999490:   2: 0.999854; 0.0     *   0.0     = 0.0     ;  0.0     /0.999490=  0.0     
0.999305:   3: 0.999815; 0.0     *   0.0     = 0.0     ;  0.0     /0.999305=  0.0     
0.999102:   4: 0.999796; 0.000119*2378.322051= 0.283223;  0.283223/0.999102=  0.283478
0.998567:   7: 0.999465; 0.0     *   0.0     = 0.0     ;  0.0     /0.998567=  0.0     
0.998404:   7: 0.999837; 0.0     *   0.0     = 0.0     ;  0.0     /0.998404=  0.0     
0.998215:   8: 0.999811; 0.000151*1930.483254= 0.291328;  0.291328/0.998215=  0.291849
0.997346:  11: 0.999129; 0.0     *   0.0     = 0.0     ;  0.0     /0.997346=  0.0     
0.997106:  12: 0.999760; 0.0     *   0.0     = 0.0     ;  0.0     /0.997106=  0.0     
0.996884:  12: 0.999777; 0.000185*1643.922667= 0.304454;  0.304454/0.996884=  0.305406
0.995383:  16: 0.998495; 0.0     *   0.0     = 0.0     ;  0.0     /0.995383=  0.0     
0.995106:  17: 0.999722; 0.0     *   0.0     = 0.0     ;  0.0     /0.995106=  0.0     
0.995009:  17: 0.999903; 0.000221*1415.217963= 0.312980;  0.312980/0.995009=  0.314550
0.993532:  20: 0.998515; 0.0     *   0.0     = 0.0     ;  0.0     /0.993532=  0.0     
0.992912:  21: 0.999376; 0.0     *   0.0     = 0.0     ;  0.0     /0.992912=  0.0     
0.992587:  22: 0.999673; 0.000242*1265.328012= 0.305619;  0.305619/0.992587=  0.307902
0.991188:  24: 0.998590; 0.0     *   0.0     = 0.0     ;  0.0     /0.991188=  0.0     
0.990787:  25: 0.999596; 0.0     *   0.0     = 0.0     ;  0.0     /0.990787=  0.0     
0.989571:  27: 0.998773; 0.000261*1141.218098= 0.297905;  0.297905/0.989571=  0.301045
0.986794:  31: 0.997194; 0.0     *   0.0     = 0.0     ;  0.0     /0.986794=  0.0     
0.986314:  31: 0.999513; 0.0     *   0.0     = 0.0     ;  0.0     /0.986314=  0.0     
0.985761:  32: 0.999440; 0.000303*1013.245220= 0.306685;  0.306685/0.985761=  0.311115
0.983041:  36: 0.997240; 0.0     *   0.0     = 0.0     ;  0.0     /0.983041=  0.0     
0.981764:  37: 0.998701; 0.0     *   0.0     = 0.0     ;  0.0     /0.981764=  0.0     
0.981230:  38: 0.999456; 0.000322* 926.638579= 0.298623;  0.298623/0.981230=  0.304335
0.977538:  42: 0.996237; 0.0     *   0.0     = 0.0     ;  0.0     /0.977538=  0.0     
