# Old comments in file ./phase1_ab_original/dpm_alphaBar_2-100-time_quadratic.txt
# order     : 2
# steps     : 100
# skip_type : time_quadratic
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99981529  :    0.00171 :    0
# 0.99969620  :    0.00260 :    1
# 0.99953145  :    0.00368 :    2
# 0.99930996  :    0.00495 :    3
# 0.99901235  :    0.00641 :    5
# 0.99862993  :    0.00805 :    7
# 0.99813807  :    0.00988 :    8
# 0.99751961  :    0.01190 :   10
# 0.99675131  :    0.01411 :   13
# 0.99580753  :    0.01650 :   15
# 0.99466693  :    0.01908 :   18
# 0.99329579  :    0.02185 :   20
# 0.99166685  :    0.02481 :   23
# 0.98974973  :    0.02795 :   26
# 0.98750734  :    0.03129 :   30
# 0.98490953  :    0.03481 :   33
# 0.98191702  :    0.03851 :   37
# 0.97849500  :    0.04241 :   41
# 0.97460449  :    0.04649 :   45
# 0.97020745  :    0.05076 :   49
# 0.96526349  :    0.05522 :   54
# 0.95973396  :    0.05986 :   58
# 0.95357776  :    0.06469 :   63
# 0.94675821  :    0.06971 :   68
# 0.93923771  :    0.07492 :   73
# 0.93097502  :    0.08032 :   79
# 0.92194039  :    0.08590 :   84
# 0.91209573  :    0.09167 :   90
# 0.90141374  :    0.09763 :   96
# 0.88986635  :    0.10377 :  102
# 0.87742943  :    0.11010 :  109
# 0.86408037  :    0.11662 :  115
# 0.84980738  :    0.12333 :  122
# 0.83459920  :    0.13023 :  129
# 0.81845039  :    0.13731 :  136
# 0.80136335  :    0.14458 :  143
# 0.78334761  :    0.15204 :  151
# 0.76441401  :    0.15969 :  158
# 0.74458891  :    0.16752 :  166
# 0.72390139  :    0.17554 :  174
# 0.70238966  :    0.18375 :  182
# 0.68009895  :    0.19214 :  191
# 0.65708250  :    0.20073 :  199
# 0.63340271  :    0.20950 :  208
# 0.60912895  :    0.21846 :  217
# 0.58433783  :    0.22760 :  226
# 0.55911338  :    0.23694 :  235
# 0.53354198  :    0.24646 :  245
# 0.50772280  :    0.25617 :  255
# 0.48175344  :    0.26606 :  265
# 0.45573676  :    0.27615 :  275
# 0.42977899  :    0.28642 :  285
# 0.40398845  :    0.29688 :  295
# 0.37847036  :    0.30752 :  306
# 0.35333216  :    0.31836 :  317
# 0.32867697  :    0.32938 :  328
# 0.30460387  :    0.34059 :  339
# 0.28120822  :    0.35198 :  350
# 0.25857562  :    0.36357 :  362
# 0.23678829  :    0.37534 :  374
# 0.21591695  :    0.38730 :  386
# 0.19602349  :    0.39945 :  398
# 0.17716001  :    0.41178 :  410
# 0.15936618  :    0.42430 :  423
# 0.14267248  :    0.43701 :  436
# 0.12709631  :    0.44991 :  448
# 0.11264493  :    0.46299 :  461
# 0.09931426  :    0.47626 :  475
# 0.08708974  :    0.48972 :  488
# 0.07594710  :    0.50337 :  502
# 0.06585336  :    0.51721 :  516
# 0.05676719  :    0.53123 :  530
# 0.04864064  :    0.54544 :  544
# 0.04142054  :    0.55984 :  558
# 0.03504874  :    0.57442 :  573
# 0.02946457  :    0.58919 :  588
# 0.02460498  :    0.60415 :  603
# 0.02040645  :    0.61930 :  618
# 0.01680579  :    0.63464 :  633
# 0.01374107  :    0.65016 :  649
# 0.01115256  :    0.66587 :  664
# 0.00898346  :    0.68177 :  680
# 0.00718039  :    0.69785 :  696
# 0.00569389  :    0.71413 :  713
# 0.00447862  :    0.73059 :  729
# 0.00349358  :    0.74723 :  746
# 0.00270215  :    0.76407 :  763
# 0.00207191  :    0.78109 :  780
# 0.00157460  :    0.79830 :  797
# 0.00118584  :    0.81570 :  814
# 0.00088481  :    0.83329 :  832
# 0.00065396  :    0.85106 :  850
# 0.00047868  :    0.86902 :  868
# 0.00034693  :    0.88717 :  886
# 0.00024891  :    0.90551 :  904
# 0.00017675  :    0.92403 :  923
# 0.00012419  :    0.94274 :  941
# 0.00008633  :    0.96164 :  960
# 0.00005936  :    0.98073 :  979
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 7060693811795262706
# order from param    : None
# order from file     : 2
# order final         : 2
# skip_type from param: None
# skip_type from file : time_quadratic
# skip_type final     : time_quadratic
# Epoch       : 000999; loss:395.780399 = 353.069487 + 42.710911
# loss_var    : 1421.835234 => 353.069487
# model.lp    : 0.1
# model.out_ch: 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999816:   0: 0.999816; 0.0     *   0.0     = 0.0     ;  0.0     /0.999816=  0.0     
0.999779:   1: 0.999963; 0.000221*3044.095202= 0.673840;  0.673840/0.999779=  0.673990
0.999494:   2: 0.999715; 0.0     *   0.0     = 0.0     ;  0.0     /0.999494=  0.0     
0.999171:   4: 0.999677; 0.000194*2403.923188= 0.465703;  0.465703/0.999171=  0.466089
0.998676:   6: 0.999505; 0.0     *   0.0     = 0.0     ;  0.0     /0.998676=  0.0     
0.997992:   9: 0.999315; 0.000257*1921.103019= 0.494041;  0.494041/0.997992=  0.495035
0.997129:  12: 0.999135; 0.0     *   0.0     = 0.0     ;  0.0     /0.997129=  0.0     
0.996004:  15: 0.998872; 0.000340*1569.393619= 0.533877;  0.533877/0.996004=  0.536019
0.994573:  18: 0.998563; 0.0     *   0.0     = 0.0     ;  0.0     /0.994573=  0.0     
0.992892:  21: 0.998310; 0.000449*1309.527719= 0.588296;  0.588296/0.992892=  0.592508
0.990834:  25: 0.997927; 0.0     *   0.0     = 0.0     ;  0.0     /0.990834=  0.0     
0.988304:  29: 0.997447; 0.000578*1113.078146= 0.642951;  0.642951/0.988304=  0.650559
0.985364:  33: 0.997025; 0.0     *   0.0     = 0.0     ;  0.0     /0.985364=  0.0     
0.981793:  37: 0.996376; 0.000737* 955.461554= 0.703911;  0.703911/0.981793=  0.716965
0.977701:  42: 0.995832; 0.0     *   0.0     = 0.0     ;  0.0     /0.977701=  0.0     
0.972884:  47: 0.995073; 0.000921* 828.514895= 0.763255;  0.763255/0.972884=  0.784529
0.967302:  52: 0.994262; 0.0     *   0.0     = 0.0     ;  0.0     /0.967302=  0.0     
0.961075:  57: 0.993562; 0.001131* 722.579611= 0.817086;  0.817086/0.961075=  0.850180
0.953871:  63: 0.992505; 0.0     *   0.0     = 0.0     ;  0.0     /0.953871=  0.0     
0.945849:  69: 0.991590; 0.001367* 634.774163= 0.867972;  0.867972/0.945849=  0.917665
0.936766:  75: 0.990397; 0.0     *   0.0     = 0.0     ;  0.0     /0.936766=  0.0     
0.926779:  81: 0.989339; 0.001620* 560.980423= 0.908739;  0.908739/0.926779=  0.980535
0.915403:  88: 0.987725; 0.0     *   0.0     = 0.0     ;  0.0     /0.915403=  0.0     
0.903304:  95: 0.986783; 0.001920* 497.903220= 0.955853;  0.955853/0.903304=  1.058175
0.889582: 102: 0.984810; 0.0     *   0.0     = 0.0     ;  0.0     /0.889582=  0.0     
0.875186: 110: 0.983817; 0.002229* 443.187126= 0.987662;  0.987662/0.875186=  1.128516
0.859298: 117: 0.981846; 0.0     *   0.0     = 0.0     ;  0.0     /0.859298=  0.0     
0.842139: 125: 0.980031; 0.002577* 396.272263= 1.021094;  1.021094/0.842139=  1.212501
0.823634: 134: 0.978026; 0.0     *   0.0     = 0.0     ;  0.0     /0.823634=  0.0     
0.804249: 142: 0.976464; 0.002933* 354.794431= 1.040777;  1.040777/0.804249=  1.294098
0.783129: 151: 0.973740; 0.0     *   0.0     = 0.0     ;  0.0     /0.783129=  0.0     
0.761911: 159: 0.972906; 0.003284* 318.117114= 1.044780;  1.044780/0.761911=  1.371262
0.738008: 169: 0.968627; 0.0     *   0.0     = 0.0     ;  0.0     /0.738008=  0.0     
0.715818: 177: 0.969933; 0.003616* 286.421042= 1.035709;  1.035709/0.715818=  1.446888
0.690630: 187: 0.964813; 0.0     *   0.0     = 0.0     ;  0.0     /0.690630=  0.0     
0.667272: 195: 0.966179; 0.003860* 258.039540= 0.996148;  0.996148/0.667272=  1.492866
0.643106: 204: 0.963783; 0.0     *   0.0     = 0.0     ;  0.0     /0.643106=  0.0     
0.617450: 214: 0.960107; 0.004049* 234.185820= 0.948250;  0.948250/0.617450=  1.535752
0.589424: 224: 0.954610; 0.0     *   0.0     = 0.0     ;  0.0     /0.589424=  0.0     
0.567955: 232: 0.963576; 0.004109* 211.648596= 0.869703;  0.869703/0.567955=  1.531288
0.541814: 242: 0.953974; 0.0     *   0.0     = 0.0     ;  0.0     /0.541814=  0.0     
0.518835: 250: 0.957589; 0.004280* 192.698078= 0.824834;  0.824834/0.518835=  1.589780
0.490968: 261: 0.946288; 0.0     *   0.0     = 0.0     ;  0.0     /0.490968=  0.0     
0.470941: 269: 0.959210; 0.004422* 175.034434= 0.773927;  0.773927/0.470941=  1.643362
0.439916: 281: 0.934120; 0.0     *   0.0     = 0.0     ;  0.0     /0.439916=  0.0     
0.425705: 287: 0.967697; 0.004392* 159.002201= 0.698370;  0.698370/0.425705=  1.640503
0.401079: 297: 0.942152; 0.0     *   0.0     = 0.0     ;  0.0     /0.401079=  0.0     
0.383548: 304: 0.956291; 0.004333* 146.053246= 0.632802;  0.632802/0.383548=  1.649864
0.354397: 316: 0.923996; 0.0     *   0.0     = 0.0     ;  0.0     /0.354397=  0.0     
0.344651: 321: 0.972500; 0.004260* 133.108739= 0.567034;  0.567034/0.344651=  1.645243
0.324533: 330: 0.941628; 0.0     *   0.0     = 0.0     ;  0.0     /0.324533=  0.0     
0.309306: 337: 0.953081; 0.004119* 123.523030= 0.508739;  0.508739/0.309306=  1.644776
0.284633: 349: 0.920232; 0.0     *   0.0     = 0.0     ;  0.0     /0.284633=  0.0     
0.276819: 353: 0.972547; 0.004118* 112.425974= 0.463025;  0.463025/0.276819=  1.672662
