# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-100-logSNR.txt
# order     : 3
# steps     : 100
# skip_type : logSNR
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99982345  :    0.00164 :    0
# 0.99978673  :    0.00194 :    0
# 0.99974209  :    0.00227 :    1
# 0.99968827  :    0.00266 :    1
# 0.99962330  :    0.00311 :    2
# 0.99954468  :    0.00360 :    2
# 0.99944979  :    0.00417 :    3
# 0.99933517  :    0.00481 :    3
# 0.99919647  :    0.00552 :    4
# 0.99902904  :    0.00633 :    5
# 0.99882674  :    0.00723 :    6
# 0.99858218  :    0.00823 :    7
# 0.99828696  :    0.00935 :    8
# 0.99793035  :    0.01059 :    9
# 0.99749959  :    0.01196 :   10
# 0.99697948  :    0.01348 :   12
# 0.99635160  :    0.01516 :   14
# 0.99559373  :    0.01701 :   16
# 0.99467939  :    0.01906 :   18
# 0.99357647  :    0.02131 :   20
# 0.99224669  :    0.02379 :   22
# 0.99064422  :    0.02652 :   25
# 0.98871446  :    0.02953 :   28
# 0.98639190  :    0.03284 :   31
# 0.98359948  :    0.03647 :   35
# 0.98024541  :    0.04046 :   39
# 0.97622210  :    0.04483 :   43
# 0.97140312  :    0.04963 :   48
# 0.96564186  :    0.05489 :   53
# 0.95876932  :    0.06064 :   59
# 0.95059228  :    0.06693 :   65
# 0.94089365  :    0.07380 :   72
# 0.92943239  :    0.08129 :   80
# 0.91594744  :    0.08945 :   88
# 0.90016216  :    0.09831 :   97
# 0.88179505  :    0.10791 :  106
# 0.86057234  :    0.11830 :  117
# 0.83624697  :    0.12949 :  128
# 0.80862135  :    0.14152 :  140
# 0.77757484  :    0.15439 :  153
# 0.74309194  :    0.16810 :  167
# 0.70528924  :    0.18265 :  181
# 0.66443598  :    0.19799 :  196
# 0.62096310  :    0.21409 :  213
# 0.57545680  :    0.23088 :  229
# 0.52863431  :    0.24829 :  247
# 0.48130244  :    0.26623 :  265
# 0.43430385  :    0.28461 :  283
# 0.38845760  :    0.30332 :  302
# 0.34450361  :    0.32225 :  321
# 0.30305848  :    0.34132 :  340
# 0.26458675  :    0.36043 :  359
# 0.22939129  :    0.37949 :  378
# 0.19761959  :    0.39844 :  397
# 0.16928165  :    0.41721 :  416
# 0.14427668  :    0.43574 :  434
# 0.12242088  :    0.45401 :  453
# 0.10347559  :    0.47198 :  470
# 0.08717096  :    0.48963 :  488
# 0.07322560  :    0.50695 :  505
# 0.06136120  :    0.52393 :  522
# 0.05131270  :    0.54056 :  539
# 0.04283467  :    0.55686 :  555
# 0.03570468  :    0.57282 :  571
# 0.02972464  :    0.58845 :  587
# 0.02472051  :    0.60377 :  602
# 0.02054097  :    0.61878 :  617
# 0.01705572  :    0.63348 :  632
# 0.01415328  :    0.64790 :  646
# 0.01173886  :    0.66205 :  661
# 0.00973225  :    0.67593 :  674
# 0.00806585  :    0.68955 :  688
# 0.00668285  :    0.70293 :  701
# 0.00553566  :    0.71608 :  715
# 0.00458449  :    0.72900 :  728
# 0.00379613  :    0.74171 :  740
# 0.00314292  :    0.75421 :  753
# 0.00260181  :    0.76652 :  765
# 0.00215366  :    0.77864 :  777
# 0.00178256  :    0.79057 :  789
# 0.00147531  :    0.80233 :  801
# 0.00122096  :    0.81393 :  812
# 0.00101042  :    0.82536 :  824
# 0.00083615  :    0.83664 :  835
# 0.00069191  :    0.84777 :  846
# 0.00057255  :    0.85876 :  857
# 0.00047376  :    0.86961 :  868
# 0.00039201  :    0.88033 :  879
# 0.00032437  :    0.89091 :  889
# 0.00026839  :    0.90138 :  900
# 0.00022207  :    0.91172 :  910
# 0.00018375  :    0.92195 :  920
# 0.00015203  :    0.93206 :  931
# 0.00012579  :    0.94207 :  941
# 0.00010408  :    0.95197 :  950
# 0.00008612  :    0.96177 :  960
# 0.00007125  :    0.97147 :  970
# 0.00005895  :    0.98107 :  980
# 0.00004878  :    0.99058 :  989
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 18190908542632105087
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : logSNR
# skip_type final     : logSNR
# Epoch       : 000999; loss:545.391454 = 448.408973 + 96.982481
# loss_var    : 2244.095897 => 448.408973
# model.lp    : 0.1
# model.out_ch: 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.313083: 335: 0.823002; 0.0     *   0.0     = 0.0     ;  0.0     /0.313083=  0.0     
0.284974: 349: 0.910218; 0.0     *   0.0     = 0.0     ;  0.0     /0.284974=  0.0     
0.282640: 350: 0.991811; 0.028389* 174.365242= 4.950025;  4.950025/0.282640= 17.513532
0.222948: 382: 0.788805; 0.0     *   0.0     = 0.0     ;  0.0     /0.222948=  0.0     
0.214686: 387: 0.962942; 0.0     *   0.0     = 0.0     ;  0.0     /0.214686=  0.0     
0.208568: 390: 0.971504; 0.026261* 139.281189= 3.657694;  3.657694/0.208568= 17.537175
0.168043: 417: 0.805700; 0.0     *   0.0     = 0.0     ;  0.0     /0.168043=  0.0     
0.160946: 422: 0.957766; 0.0     *   0.0     = 0.0     ;  0.0     /0.160946=  0.0     
0.153745: 427: 0.955258; 0.024372* 113.712041= 2.771352;  2.771352/0.153745= 18.025627
0.127543: 448: 0.829576; 0.0     *   0.0     = 0.0     ;  0.0     /0.127543=  0.0     
0.120476: 454: 0.944586; 0.0     *   0.0     = 0.0     ;  0.0     /0.120476=  0.0     
0.113791: 460: 0.944519; 0.022491*  93.110658= 2.094173;  2.094173/0.113791= 18.403612
0.096777: 477: 0.850477; 0.0     *   0.0     = 0.0     ;  0.0     /0.096777=  0.0     
0.090710: 484: 0.937309; 0.0     *   0.0     = 0.0     ;  0.0     /0.090710=  0.0     
0.085004: 491: 0.937098; 0.020424*  76.853154= 1.569646;  1.569646/0.085004= 18.465526
0.073348: 505: 0.862880; 0.0     *   0.0     = 0.0     ;  0.0     /0.073348=  0.0     
0.068422: 512: 0.932833; 0.0     *   0.0     = 0.0     ;  0.0     /0.068422=  0.0     
0.063811: 519: 0.932606; 0.019264*  63.333746= 1.220069;  1.220069/0.063811= 19.120163
0.055689: 532: 0.872726; 0.0     *   0.0     = 0.0     ;  0.0     /0.055689=  0.0     
0.051780: 538: 0.929799; 0.0     *   0.0     = 0.0     ;  0.0     /0.051780=  0.0     
0.048167: 545: 0.930231; 0.018219*  52.294914= 0.952767;  0.952767/0.048167= 19.780473
0.042639: 556: 0.885223; 0.0     *   0.0     = 0.0     ;  0.0     /0.042639=  0.0     
0.039585: 562: 0.928391; 0.0     *   0.0     = 0.0     ;  0.0     /0.039585=  0.0     
0.036764: 569: 0.928725; 0.016667*  43.346448= 0.722447;  0.722447/0.036764= 19.651014
0.032847: 578: 0.893453; 0.0     *   0.0     = 0.0     ;  0.0     /0.032847=  0.0     
0.030453: 585: 0.927120; 0.0     *   0.0     = 0.0     ;  0.0     /0.030453=  0.0     
0.028257: 591: 0.927878; 0.015710*  35.865145= 0.563447;  0.563447/0.028257= 19.940379
0.025325: 600: 0.896246; 0.0     *   0.0     = 0.0     ;  0.0     /0.025325=  0.0     
0.023472: 607: 0.926848; 0.0     *   0.0     = 0.0     ;  0.0     /0.023472=  0.0     
0.021767: 613: 0.927343; 0.015342*  29.624495= 0.454491;  0.454491/0.021767= 20.879937
0.019548: 621: 0.898068; 0.0     *   0.0     = 0.0     ;  0.0     /0.019548=  0.0     
0.018112: 627: 0.926553; 0.0     *   0.0     = 0.0     ;  0.0     /0.018112=  0.0     
0.016795: 633: 0.927265; 0.015075*  24.501548= 0.369367;  0.369367/0.016795= 21.992727
0.015224: 641: 0.906460; 0.0     *   0.0     = 0.0     ;  0.0     /0.015224=  0.0     
0.014101: 647: 0.926254; 0.0     *   0.0     = 0.0     ;  0.0     /0.014101=  0.0     
0.013072: 652: 0.927035; 0.014076*  20.252379= 0.285066;  0.285066/0.013072= 21.806800
0.011847: 660: 0.906274; 0.0     *   0.0     = 0.0     ;  0.0     /0.011847=  0.0     
0.010979: 666: 0.926731; 0.0     *   0.0     = 0.0     ;  0.0     /0.010979=  0.0     
0.010179: 671: 0.927130; 0.013986*  16.729290= 0.233968;  0.233968/0.010179= 22.985242
0.009358: 677: 0.919309; 0.0     *   0.0     = 0.0     ;  0.0     /0.009358=  0.0     
0.008671: 683: 0.926616; 0.0     *   0.0     = 0.0     ;  0.0     /0.008671=  0.0     
0.008037: 688: 0.926831; 0.012535*  13.895123= 0.174174;  0.174174/0.008037= 21.672653
0.007424: 694: 0.923811; 0.0     *   0.0     = 0.0     ;  0.0     /0.007424=  0.0     
0.006882: 699: 0.926929; 0.0     *   0.0     = 0.0     ;  0.0     /0.006882=  0.0     
0.006380: 705: 0.927048; 0.011972*  11.513238= 0.137836;  0.137836/0.006380= 21.605372
0.005906: 710: 0.925736; 0.0     *   0.0     = 0.0     ;  0.0     /0.005906=  0.0     
0.005473: 715: 0.926633; 0.0     *   0.0     = 0.0     ;  0.0     /0.005473=  0.0     
0.005074: 721: 0.927072; 0.011780*   9.588373= 0.112952;  0.112952/0.005074= 22.263091
0.004698: 726: 0.925920; 0.0     *   0.0     = 0.0     ;  0.0     /0.004698=  0.0     
0.004355: 731: 0.926986; 0.0     *   0.0     = 0.0     ;  0.0     /0.004355=  0.0     
0.004037: 736: 0.927011; 0.011717*   7.916401= 0.092754;  0.092754/0.004037= 22.976812
0.003740: 741: 0.926443; 0.0     *   0.0     = 0.0     ;  0.0     /0.003740=  0.0     
0.003467: 746: 0.927000; 0.0     *   0.0     = 0.0     ;  0.0     /0.003467=  0.0     
0.003214: 751: 0.927114; 0.011639*   6.538001= 0.076097;  0.076097/0.003214= 23.675092
