# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-050-time_quadratic.txt
# order     : 3
# steps     : 50
# skip_type : time_quadratic
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99969620  :    0.00260 :    1
# 0.99930996  :    0.00495 :    3
# 0.99862993  :    0.00805 :    7
# 0.99751961  :    0.01190 :   10
# 0.99580753  :    0.01650 :   15
# 0.99329579  :    0.02185 :   20
# 0.98974973  :    0.02795 :   26
# 0.98490953  :    0.03481 :   33
# 0.97849500  :    0.04241 :   41
# 0.97020745  :    0.05076 :   49
# 0.95973396  :    0.05986 :   58
# 0.94675821  :    0.06971 :   68
# 0.93097502  :    0.08032 :   79
# 0.91209573  :    0.09167 :   90
# 0.88986635  :    0.10377 :  102
# 0.86408037  :    0.11662 :  115
# 0.83459920  :    0.13023 :  129
# 0.80136335  :    0.14458 :  143
# 0.76441395  :    0.15969 :  158
# 0.72390133  :    0.17554 :  174
# 0.68009883  :    0.19214 :  191
# 0.63340271  :    0.20950 :  208
# 0.58433783  :    0.22760 :  226
# 0.53354198  :    0.24646 :  245
# 0.48175344  :    0.26606 :  265
# 0.42977899  :    0.28642 :  285
# 0.37847048  :    0.30752 :  306
# 0.32867697  :    0.32938 :  328
# 0.28120837  :    0.35198 :  350
# 0.23678841  :    0.37534 :  374
# 0.19602349  :    0.39945 :  398
# 0.15936618  :    0.42430 :  423
# 0.12709631  :    0.44991 :  448
# 0.09931426  :    0.47626 :  475
# 0.07594710  :    0.50337 :  502
# 0.05676719  :    0.53123 :  530
# 0.04142054  :    0.55984 :  558
# 0.02946457  :    0.58919 :  588
# 0.02040645  :    0.61930 :  618
# 0.01374107  :    0.65016 :  649
# 0.00898346  :    0.68177 :  680
# 0.00569389  :    0.71413 :  713
# 0.00349358  :    0.74723 :  746
# 0.00207191  :    0.78109 :  780
# 0.00118584  :    0.81570 :  814
# 0.00065396  :    0.85106 :  850
# 0.00034693  :    0.88717 :  886
# 0.00017675  :    0.92403 :  923
# 0.00008633  :    0.96164 :  960
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 10060597188815761445
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : time_quadratic
# skip_type final     : time_quadratic
# Epoch       : 000999; loss:2099.552847 = 2042.190659 + 57.362188
# loss_var    : 6479.096839 => 2042.190659
# model.lp    : 0.1
# model.out_ch: 50
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999411:   3: 0.999411; 0.0     *   0.0     = 0.0     ;  0.0     /0.999411=  0.0     
0.999282:   4: 0.999871; 0.000718*2402.231640= 1.725455;  1.725455/0.999282=  1.726695
0.998069:   9: 0.998787; 0.0     *   0.0     = 0.0     ;  0.0     /0.998069=  0.0     
0.997807:   9: 0.999737; 0.0     *   0.0     = 0.0     ;  0.0     /0.997807=  0.0     
0.997731:  10: 0.999924; 0.000435*2682.769350= 1.167267;  1.167267/0.997731=  1.169922
0.995206:  16: 0.997470; 0.0     *   0.0     = 0.0     ;  0.0     /0.995206=  0.0     
0.994959:  17: 0.999752; 0.0     *   0.0     = 0.0     ;  0.0     /0.994959=  0.0     
0.994853:  17: 0.999893; 0.000584*2098.230175= 1.225976;  1.225976/0.994853=  1.232318
0.990965:  25: 0.996092; 0.0     *   0.0     = 0.0     ;  0.0     /0.990965=  0.0     
0.990611:  25: 0.999643; 0.0     *   0.0     = 0.0     ;  0.0     /0.990611=  0.0     
0.990420:  25: 0.999808; 0.000691*1725.809728= 1.193089;  1.193089/0.990420=  1.204629
0.985018:  33: 0.994546; 0.0     *   0.0     = 0.0     ;  0.0     /0.985018=  0.0     
0.984409:  34: 0.999381; 0.0     *   0.0     = 0.0     ;  0.0     /0.984409=  0.0     
0.984158:  34: 0.999745; 0.000801*1459.221297= 1.168766;  1.168766/0.984158=  1.187580
0.976778:  43: 0.992501; 0.0     *   0.0     = 0.0     ;  0.0     /0.976778=  0.0     
0.976136:  43: 0.999342; 0.0     *   0.0     = 0.0     ;  0.0     /0.976136=  0.0     
0.975820:  44: 0.999677; 0.000910*1257.802429= 1.144580;  1.144580/0.975820=  1.172942
0.966498:  53: 0.990447; 0.0     *   0.0     = 0.0     ;  0.0     /0.966498=  0.0     
0.965617:  53: 0.999088; 0.0     *   0.0     = 0.0     ;  0.0     /0.965617=  0.0     
0.965199:  54: 0.999567; 0.001018*1100.227275= 1.119701;  1.119701/0.965199=  1.160073
0.953244:  63: 0.987614; 0.0     *   0.0     = 0.0     ;  0.0     /0.953244=  0.0     
0.952421:  64: 0.999136; 0.0     *   0.0     = 0.0     ;  0.0     /0.952421=  0.0     
0.952028:  64: 0.999588; 0.001139* 971.862564= 1.107090;  1.107090/0.952028=  1.162875
0.946953:  68: 0.994669; 0.0     *   0.0     = 0.0     ;  0.0     /0.946953=  0.0     
0.945110:  69: 0.998054; 0.0     *   0.0     = 0.0     ;  0.0     /0.945110=  0.0     
0.936968:  75: 0.991385; 0.001141* 905.448761= 1.033004;  1.033004/0.936968=  1.102497
0.918795:  86: 0.980605; 0.0     *   0.0     = 0.0     ;  0.0     /0.918795=  0.0     
