# Old comments in file ./phase1_ab_original/dpm_alphaBar_1-100-time_quadratic.txt
# order     : 1
# steps     : 100
# skip_type : time_quadratic
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99981529  :    0.00171 :    0
# 0.99969620  :    0.00260 :    1
# 0.99953145  :    0.00368 :    2
# 0.99930996  :    0.00495 :    3
# 0.99901235  :    0.00641 :    5
# 0.99862993  :    0.00805 :    7
# 0.99813807  :    0.00988 :    8
# 0.99751961  :    0.01190 :   10
# 0.99675131  :    0.01411 :   13
# 0.99580753  :    0.01650 :   15
# 0.99466693  :    0.01908 :   18
# 0.99329579  :    0.02185 :   20
# 0.99166685  :    0.02481 :   23
# 0.98974973  :    0.02795 :   26
# 0.98750734  :    0.03129 :   30
# 0.98490953  :    0.03481 :   33
# 0.98191702  :    0.03851 :   37
# 0.97849500  :    0.04241 :   41
# 0.97460449  :    0.04649 :   45
# 0.97020745  :    0.05076 :   49
# 0.96526349  :    0.05522 :   54
# 0.95973396  :    0.05986 :   58
# 0.95357776  :    0.06469 :   63
# 0.94675821  :    0.06971 :   68
# 0.93923765  :    0.07492 :   73
# 0.93097502  :    0.08032 :   79
# 0.92194039  :    0.08590 :   84
# 0.91209573  :    0.09167 :   90
# 0.90141374  :    0.09763 :   96
# 0.88986635  :    0.10377 :  102
# 0.87742943  :    0.11010 :  109
# 0.86408037  :    0.11662 :  115
# 0.84980732  :    0.12333 :  122
# 0.83459920  :    0.13023 :  129
# 0.81845039  :    0.13731 :  136
# 0.80136335  :    0.14458 :  143
# 0.78334761  :    0.15204 :  151
# 0.76441401  :    0.15969 :  158
# 0.74458891  :    0.16752 :  166
# 0.72390139  :    0.17554 :  174
# 0.70238960  :    0.18375 :  182
# 0.68009895  :    0.19214 :  191
# 0.65708250  :    0.20073 :  199
# 0.63340271  :    0.20950 :  208
# 0.60912889  :    0.21846 :  217
# 0.58433783  :    0.22760 :  226
# 0.55911332  :    0.23694 :  235
# 0.53354198  :    0.24646 :  245
# 0.50772280  :    0.25617 :  255
# 0.48175344  :    0.26606 :  265
# 0.45573676  :    0.27615 :  275
# 0.42977899  :    0.28642 :  285
# 0.40398845  :    0.29688 :  295
# 0.37847036  :    0.30752 :  306
# 0.35333231  :    0.31836 :  317
# 0.32867697  :    0.32938 :  328
# 0.30460387  :    0.34059 :  339
# 0.28120822  :    0.35198 :  350
# 0.25857562  :    0.36357 :  362
# 0.23678829  :    0.37534 :  374
# 0.21591711  :    0.38730 :  386
# 0.19602349  :    0.39945 :  398
# 0.17716001  :    0.41178 :  410
# 0.15936618  :    0.42430 :  423
# 0.14267248  :    0.43701 :  436
# 0.12709631  :    0.44991 :  448
# 0.11264504  :    0.46299 :  461
# 0.09931426  :    0.47626 :  475
# 0.08708974  :    0.48972 :  488
# 0.07594710  :    0.50337 :  502
# 0.06585336  :    0.51721 :  516
# 0.05676719  :    0.53123 :  530
# 0.04864064  :    0.54544 :  544
# 0.04142054  :    0.55984 :  558
# 0.03504879  :    0.57442 :  573
# 0.02946457  :    0.58919 :  588
# 0.02460498  :    0.60415 :  603
# 0.02040645  :    0.61930 :  618
# 0.01680579  :    0.63464 :  633
# 0.01374107  :    0.65016 :  649
# 0.01115256  :    0.66587 :  664
# 0.00898346  :    0.68177 :  680
# 0.00718040  :    0.69785 :  696
# 0.00569389  :    0.71413 :  713
# 0.00447862  :    0.73059 :  729
# 0.00349358  :    0.74723 :  746
# 0.00270215  :    0.76407 :  763
# 0.00207191  :    0.78109 :  780
# 0.00157460  :    0.79830 :  797
# 0.00118584  :    0.81570 :  814
# 0.00088481  :    0.83329 :  832
# 0.00065396  :    0.85106 :  850
# 0.00047868  :    0.86902 :  868
# 0.00034693  :    0.88717 :  886
# 0.00024891  :    0.90551 :  904
# 0.00017675  :    0.92403 :  923
# 0.00012419  :    0.94274 :  941
# 0.00008633  :    0.96164 :  960
# 0.00005936  :    0.98073 :  979
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 12891435771152228358
# order from param    : None
# order from file     : 1
# order final         : 1
# skip_type from param: None
# skip_type from file : time_quadratic
# skip_type final     : time_quadratic
# Epoch       : 000999; loss:113.925728 = 101.419751 + 12.505977
# loss_var    : 365.842465 => 101.419751
# model.lp    : 0.1
# model.out_ch: 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.999961:   0: 0.999961; 0.000039*1814.040410= 0.071181;  0.071181/0.999961=  0.071184
0.999826:   0: 0.999865; 0.000048*1572.487666= 0.075668;  0.075668/0.999826=  0.075681
0.999609:   2: 0.999783; 0.000043*1338.450963= 0.057861;  0.057861/0.999609=  0.057883
0.999326:   3: 0.999717; 0.000038*1191.291526= 0.045570;  0.045570/0.999326=  0.045601
0.998892:   5: 0.999566; 0.000054*1058.502631= 0.056857;  0.056857/0.998892=  0.056920
0.998422:   7: 0.999529; 0.000042* 968.102665= 0.040330;  0.040330/0.998422=  0.040394
0.997875:   9: 0.999453; 0.000041* 894.645738= 0.036389;  0.036389/0.997875=  0.036467
0.997052:  12: 0.999175; 0.000068* 816.125545= 0.055160;  0.055160/0.997052=  0.055323
0.996104:  14: 0.999049; 0.000066* 753.177855= 0.050003;  0.050003/0.996104=  0.050199
0.994758:  17: 0.998648; 0.000101* 689.307691= 0.069339;  0.069339/0.994758=  0.069705
0.993203:  21: 0.998437; 0.000102* 636.020213= 0.064843;  0.064843/0.993203=  0.065287
0.991310:  24: 0.998095; 0.000118* 588.861545= 0.069345;  0.069345/0.991310=  0.069953
0.988939:  28: 0.997608; 0.000146* 544.269775= 0.079195;  0.079195/0.988939=  0.080080
0.985996:  32: 0.997023; 0.000178* 502.858743= 0.089314;  0.089314/0.985996=  0.090582
0.982812:  36: 0.996771; 0.000168* 469.194051= 0.078746;  0.078746/0.982812=  0.080123
0.978980:  40: 0.996101; 0.000200* 437.672333= 0.087445;  0.087445/0.978980=  0.089323
0.974570:  45: 0.995495; 0.000219* 409.206194= 0.089772;  0.089772/0.974570=  0.092114
0.969284:  50: 0.994576; 0.000263* 381.714209= 0.100496;  0.100496/0.969284=  0.103681
0.963538:  55: 0.994072; 0.000263* 358.696332= 0.094271;  0.094271/0.963538=  0.097838
0.956896:  61: 0.993107; 0.000300* 336.206649= 0.100902;  0.100902/0.956896=  0.105448
0.949173:  66: 0.991929; 0.000349* 315.545588= 0.110016;  0.110016/0.949173=  0.115907
0.940681:  72: 0.991053; 0.000365* 296.898517= 0.108516;  0.108516/0.940681=  0.115359
0.931045:  79: 0.989757; 0.000412* 278.931708= 0.114808;  0.114808/0.931045=  0.123311
0.920054:  86: 0.988195; 0.000471* 262.541227= 0.123732;  0.123732/0.920054=  0.134483
0.908262:  92: 0.987183; 0.000482* 247.444719= 0.119254;  0.119254/0.908262=  0.131299
0.895354:  99: 0.985788; 0.000518* 233.336627= 0.120958;  0.120958/0.895354=  0.135095
0.881235: 107: 0.984231; 0.000561* 220.485108= 0.123767;  0.123767/0.881235=  0.140447
0.865593: 114: 0.982250; 0.000628* 208.112362= 0.130745;  0.130745/0.865593=  0.151046
0.848352: 123: 0.980081; 0.000701* 196.409453= 0.137666;  0.137666/0.848352=  0.162275
0.829798: 131: 0.978130; 0.000752* 185.378899= 0.139339;  0.139339/0.829798=  0.167919
0.809947: 139: 0.976077; 0.000804* 175.024258= 0.140774;  0.140774/0.809947=  0.173806
0.788198: 149: 0.973148; 0.000910* 165.494119= 0.150550;  0.150550/0.788198=  0.191005
0.765711: 158: 0.971470; 0.000926* 156.163221= 0.144580;  0.144580/0.765711=  0.188818
0.741827: 167: 0.968807; 0.001004* 147.685066= 0.148245;  0.148245/0.741827=  0.199838
0.716749: 177: 0.966195; 0.001074* 139.858059= 0.150166;  0.150166/0.716749=  0.209509
0.690570: 187: 0.963475; 0.001147* 132.160812= 0.151535;  0.151535/0.690570=  0.219435
0.663227: 197: 0.960406; 0.001238* 124.883539= 0.154562;  0.154562/0.663227=  0.233045
0.634863: 207: 0.957232; 0.001332* 117.880554= 0.156960;  0.156960/0.634863=  0.247234
0.606302: 218: 0.955013; 0.001364* 111.629777= 0.152296;  0.152296/0.606302=  0.251188
0.577153: 229: 0.951923; 0.001450* 105.336571= 0.152764;  0.152764/0.577153=  0.264685
0.547348: 240: 0.948359; 0.001563*  99.579629= 0.155683;  0.155683/0.547348=  0.284431
0.517409: 251: 0.945302; 0.001644*  94.097919= 0.154744;  0.154744/0.517409=  0.299075
0.487622: 262: 0.942429; 0.001715*  88.711789= 0.152134;  0.152134/0.487622=  0.311992
0.457945: 274: 0.939139; 0.001812*  83.694471= 0.151616;  0.151616/0.457945=  0.331079
0.429034: 285: 0.936869; 0.001849*  78.927661= 0.145919;  0.145919/0.429034=  0.340111
0.400726: 297: 0.934018; 0.001924*  74.333794= 0.142992;  0.142992/0.400726=  0.356834
0.373515: 308: 0.932097; 0.001947*  70.266069= 0.136805;  0.136805/0.373515=  0.366264
0.347480: 319: 0.930296; 0.001968*  66.249823= 0.130387;  0.130387/0.347480=  0.375235
0.323109: 330: 0.929865; 0.001917*  62.733486= 0.120286;  0.120286/0.323109=  0.372277
0.300109: 341: 0.928817; 0.001908*  59.223565= 0.113016;  0.113016/0.300109=  0.376584
0.278690: 352: 0.928630; 0.001859*  56.030941= 0.104139;  0.104139/0.278690=  0.373673
0.258725: 362: 0.928359; 0.001820*  52.952046= 0.096374;  0.096374/0.258725=  0.372497
0.240117: 372: 0.928078; 0.001787*  50.227775= 0.089781;  0.089781/0.240117=  0.373907
