# Old comments in file ./phase1_ab_original/dpm_alphaBar_2-050-time_uniform.txt
# order     : 2
# steps     : 50
# skip_type : time_uniform
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99374515  :    0.02098 :   19
# 0.97980201  :    0.04096 :   39
# 0.95839578  :    0.06094 :   59
# 0.93002242  :    0.08092 :   79
# 0.89532876  :    0.10090 :   99
# 0.85508835  :    0.12088 :  119
# 0.81017190  :    0.14086 :  139
# 0.76151741  :    0.16084 :  159
# 0.71009684  :    0.18082 :  179
# 0.65688461  :    0.20080 :  199
# 0.60282701  :    0.22078 :  219
# 0.54881662  :    0.24076 :  239
# 0.49566856  :    0.26074 :  259
# 0.44410270  :    0.28072 :  279
# 0.39473221  :    0.30070 :  299
# 0.34805411  :    0.32068 :  319
# 0.30444926  :    0.34066 :  339
# 0.26418364  :    0.36064 :  359
# 0.22741453  :    0.38062 :  379
# 0.19420029  :    0.40060 :  399
# 0.16451307  :    0.42058 :  419
# 0.13825080  :    0.44056 :  439
# 0.11525247  :    0.46054 :  459
# 0.09531191  :    0.48052 :  479
# 0.07819104  :    0.50050 :  499
# 0.06363231  :    0.52048 :  519
# 0.05136989  :    0.54046 :  539
# 0.04113851  :    0.56044 :  559
# 0.03268097  :    0.58042 :  579
# 0.02575416  :    0.60040 :  599
# 0.02013281  :    0.62038 :  619
# 0.01561221  :    0.64036 :  639
# 0.01200952  :    0.66034 :  659
# 0.00916405  :    0.68032 :  679
# 0.00693662  :    0.70030 :  699
# 0.00520841  :    0.72028 :  719
# 0.00387935  :    0.74026 :  739
# 0.00286620  :    0.76024 :  759
# 0.00210062  :    0.78022 :  779
# 0.00152714  :    0.80020 :  799
# 0.00110129  :    0.82018 :  819
# 0.00078780  :    0.84016 :  839
# 0.00055900  :    0.86014 :  859
# 0.00039346  :    0.88012 :  879
# 0.00027471  :    0.90010 :  899
# 0.00019025  :    0.92008 :  919
# 0.00013069  :    0.94006 :  939
# 0.00008906  :    0.96004 :  959
# 0.00006020  :    0.98002 :  979
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 5343829098699560699
# order from param    : None
# order from file     : 2
# order final         : 2
# skip_type from param: None
# skip_type from file : time_uniform
# skip_type final     : time_uniform
# Epoch       : 000999; loss:501.348687 = 448.938160 + 52.410528
# loss_var    : 1703.865764 => 448.938160
# model.lp    : 0.1
# model.out_ch: 50
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.993259:  20: 0.993259; 0.0     *   0.0     = 0.0     ;  0.0     /0.993259=  0.0     
0.993228:  20: 0.999969; 0.006772*1274.458041= 8.630230;  8.630230/0.993228=  8.689070
0.970349:  49: 0.976965; 0.0     *   0.0     = 0.0     ;  0.0     /0.970349=  0.0     
0.970158:  49: 0.999803; 0.008357* 772.995379= 6.460285;  6.460285/0.970158=  6.659002
0.926752:  81: 0.955259; 0.0     *   0.0     = 0.0     ;  0.0     /0.926752=  0.0     
0.926307:  82: 0.999520; 0.010540* 543.116053= 5.724516;  5.724516/0.926307=  6.179932
0.862210: 116: 0.930804; 0.0     *   0.0     = 0.0     ;  0.0     /0.862210=  0.0     
0.861109: 117: 0.998723; 0.012309* 410.535219= 5.053178;  5.053178/0.861109=  5.868222
0.778822: 152: 0.904441; 0.0     *   0.0     = 0.0     ;  0.0     /0.778822=  0.0     
0.777502: 153: 0.998305; 0.013823* 322.319241= 4.455325;  4.455325/0.777502=  5.730307
0.685054: 189: 0.881097; 0.0     *   0.0     = 0.0     ;  0.0     /0.685054=  0.0     
0.682536: 190: 0.996323; 0.014759* 260.497471= 3.844753;  3.844753/0.682536=  5.633043
0.590480: 224: 0.865127; 0.0     *   0.0     = 0.0     ;  0.0     /0.590480=  0.0     
0.583613: 226: 0.988371; 0.015443* 214.863440= 3.318074;  3.318074/0.583613=  5.685398
0.501447: 257: 0.859211; 0.0     *   0.0     = 0.0     ;  0.0     /0.501447=  0.0     
0.487950: 262: 0.973083; 0.015762* 179.715857= 2.832736;  2.832736/0.487950=  5.805386
0.419321: 289: 0.859354; 0.0     *   0.0     = 0.0     ;  0.0     /0.419321=  0.0     
0.402071: 296: 0.958862; 0.015301* 151.949635= 2.324963;  2.324963/0.402071=  5.782462
0.347613: 319: 0.864556; 0.0     *   0.0     = 0.0     ;  0.0     /0.347613=  0.0     
0.329661: 327: 0.948357; 0.014058* 129.913108= 1.826312;  1.826312/0.329661=  5.539962
0.289387: 346: 0.877832; 0.0     *   0.0     = 0.0     ;  0.0     /0.289387=  0.0     
0.269020: 357: 0.929621; 0.013308* 111.976948= 1.490141;  1.490141/0.269020=  5.539135
0.237539: 373: 0.882978; 0.0     *   0.0     = 0.0     ;  0.0     /0.237539=  0.0     
0.218778: 384: 0.921017; 0.012736*  96.844212= 1.233446;  1.233446/0.218778=  5.637902
0.195583: 398: 0.893980; 0.0     *   0.0     = 0.0     ;  0.0     /0.195583=  0.0     
0.177854: 410: 0.909355; 0.012055*  84.080621= 1.013613;  1.013613/0.177854=  5.699123
0.160848: 422: 0.904382; 0.0     *   0.0     = 0.0     ;  0.0     /0.160848=  0.0     
0.144605: 434: 0.899017; 0.011511*  73.133028= 0.841817;  0.841817/0.144605=  5.821486
0.129222: 447: 0.893619; 0.0     *   0.0     = 0.0     ;  0.0     /0.129222=  0.0     
0.114685: 460: 0.887504; 0.013749*  62.693813= 0.862007;  0.862007/0.114685=  7.516305
0.101082: 473: 0.881388; 0.0     *   0.0     = 0.0     ;  0.0     /0.101082=  0.0     
0.088461: 487: 0.875144; 0.016481*  52.788725= 0.870029;  0.870029/0.088461=  9.835142
0.076875: 501: 0.869028; 0.0     *   0.0     = 0.0     ;  0.0     /0.076875=  0.0     
0.066335: 515: 0.862887; 0.019460*  43.554760= 0.847585;  0.847585/0.066335= 12.777408
0.056835: 530: 0.856792; 0.0     *   0.0     = 0.0     ;  0.0     /0.056835=  0.0     
0.048351: 544: 0.850723; 0.022673*  35.203565= 0.798172;  0.798172/0.048351= 16.507925
0.040842: 560: 0.844703; 0.0     *   0.0     = 0.0     ;  0.0     /0.040842=  0.0     
0.034256: 575: 0.838743; 0.026116*  27.781831= 0.725562;  0.725562/0.034256= 21.180566
0.028529: 590: 0.832803; 0.0     *   0.0     = 0.0     ;  0.0     /0.028529=  0.0     
0.023591: 606: 0.826929; 0.029795*  21.299929= 0.634621;  0.634621/0.023591= 26.900879
0.019370: 622: 0.821084; 0.0     *   0.0     = 0.0     ;  0.0     /0.019370=  0.0     
0.015792: 638: 0.815291; 0.033708*  15.955068= 0.537819;  0.537819/0.015792= 34.055524
0.012784: 654: 0.809515; 0.0     *   0.0     = 0.0     ;  0.0     /0.012784=  0.0     
0.010276: 670: 0.803826; 0.037861*  11.530731= 0.436562;  0.436562/0.010276= 42.482570
0.008202: 687: 0.798149; 0.0     *   0.0     = 0.0     ;  0.0     /0.008202=  0.0     
0.006500: 703: 0.792514; 0.042237*   8.101772= 0.342192;  0.342192/0.006500= 52.643377
0.005115: 720: 0.786902; 0.0     *   0.0     = 0.0     ;  0.0     /0.005115=  0.0     
0.003997: 737: 0.781433; 0.046825*   5.467283= 0.256003;  0.256003/0.003997= 64.048228
0.003101: 754: 0.775922; 0.0     *   0.0     = 0.0     ;  0.0     /0.003101=  0.0     
0.002389: 771: 0.770409; 0.051616*   3.551427= 0.183309;  0.183309/0.002389= 76.719806
