# Old comments in file ./phase1_ab_original/dpm_alphaBar_1-100-logSNR.txt
# order     : 1
# steps     : 100
# skip_type : logSNR
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99987864  :    0.00118 :    0
# 0.99985278  :    0.00139 :    0
# 0.99982148  :    0.00165 :    0
# 0.99978334  :    0.00197 :    0
# 0.99973720  :    0.00231 :    1
# 0.99968112  :    0.00271 :    1
# 0.99961323  :    0.00317 :    2
# 0.99953079  :    0.00369 :    2
# 0.99943078  :    0.00428 :    3
# 0.99930942  :    0.00495 :    3
# 0.99916238  :    0.00570 :    4
# 0.99898380  :    0.00654 :    5
# 0.99876750  :    0.00748 :    6
# 0.99850506  :    0.00853 :    7
# 0.99818689  :    0.00971 :    8
# 0.99780113  :    0.01102 :   10
# 0.99733365  :    0.01246 :   11
# 0.99676692  :    0.01407 :   13
# 0.99608016  :    0.01584 :   14
# 0.99524850  :    0.01780 :   16
# 0.99424118  :    0.01998 :   18
# 0.99302185  :    0.02237 :   21
# 0.99154657  :    0.02502 :   24
# 0.98976260  :    0.02793 :   26
# 0.98760682  :    0.03115 :   30
# 0.98500395  :    0.03468 :   33
# 0.98186451  :    0.03858 :   37
# 0.97808242  :    0.04286 :   41
# 0.97353292  :    0.04756 :   46
# 0.96806973  :    0.05273 :   51
# 0.96152347  :    0.05839 :   57
# 0.95369953  :    0.06460 :   63
# 0.94437647  :    0.07140 :   70
# 0.93330741  :    0.07882 :   77
# 0.92022163  :    0.08693 :   85
# 0.90483028  :    0.09575 :   94
# 0.88683462  :    0.10534 :  104
# 0.86594027  :    0.11573 :  114
# 0.84187591  :    0.12696 :  125
# 0.81441778  :    0.13905 :  138
# 0.78341812  :    0.15201 :  151
# 0.74883723  :    0.16585 :  164
# 0.71077335  :    0.18056 :  179
# 0.66948688  :    0.19611 :  195
# 0.62541282  :    0.21245 :  211
# 0.57915610  :    0.22952 :  228
# 0.53146654  :    0.24723 :  246
# 0.48319510  :    0.26551 :  264
# 0.43523529  :    0.28424 :  283
# 0.38845766  :    0.30332 :  302
# 0.34364849  :    0.32263 :  321
# 0.30145997  :    0.34209 :  341
# 0.26238048  :    0.36158 :  360
# 0.22672275  :    0.38102 :  380
# 0.19463222  :    0.40033 :  399
# 0.16610815  :    0.41944 :  418
# 0.14103232  :    0.43832 :  437
# 0.11920083  :    0.45691 :  455
# 0.10035399  :    0.47518 :  474
# 0.08420218  :    0.49312 :  492
# 0.07044641  :    0.51071 :  509
# 0.05879358  :    0.52795 :  526
# 0.04896675  :    0.54483 :  543
# 0.04071138  :    0.56136 :  560
# 0.03379831  :    0.57754 :  576
# 0.02802482  :    0.59339 :  592
# 0.02321389  :    0.60891 :  607
# 0.01921250  :    0.62410 :  623
# 0.01588961  :    0.63900 :  637
# 0.01313375  :    0.65359 :  652
# 0.01085058  :    0.66791 :  666
# 0.00896071  :    0.68195 :  680
# 0.00739754  :    0.69574 :  694
# 0.00610539  :    0.70927 :  708
# 0.00503779  :    0.72257 :  721
# 0.00415609  :    0.73564 :  734
# 0.00342818  :    0.74849 :  747
# 0.00282739  :    0.76113 :  760
# 0.00233164  :    0.77357 :  772
# 0.00192265  :    0.78582 :  784
# 0.00158529  :    0.79788 :  796
# 0.00130704  :    0.80977 :  808
# 0.00107758  :    0.82149 :  820
# 0.00088837  :    0.83305 :  832
# 0.00073236  :    0.84445 :  843
# 0.00060372  :    0.85570 :  854
# 0.00049767  :    0.86680 :  865
# 0.00041025  :    0.87777 :  876
# 0.00033817  :    0.88860 :  887
# 0.00027875  :    0.89929 :  898
# 0.00022978  :    0.90987 :  908
# 0.00018940  :    0.92032 :  919
# 0.00015612  :    0.93065 :  929
# 0.00012869  :    0.94087 :  939
# 0.00010607  :    0.95099 :  949
# 0.00008743  :    0.96099 :  959
# 0.00007207  :    0.97089 :  969
# 0.00005940  :    0.98069 :  979
# 0.00004896  :    0.99039 :  989
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 14408560171201530860
# order from param    : None
# order from file     : 1
# order final         : 1
# skip_type from param: None
# skip_type from file : logSNR
# skip_type final     : logSNR
# Epoch       : 000999; loss:88.890630 = 75.238652 + 13.651977
# loss_var    : 259.674151 =>  75.238652
# model.lp    : 0.1
# model.out_ch: 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.349947: 318: 0.889391; 0.005154*  66.705910= 0.343790;  0.343790/0.349947=  0.982405
0.310105: 336: 0.886147; 0.005130*  60.836016= 0.312094;  0.312094/0.310105=  1.006413
0.273896: 354: 0.883236; 0.005114*  55.195107= 0.282289;  0.282289/0.273896=  1.030642
0.241687: 371: 0.882405; 0.004951*  50.460241= 0.249828;  0.249828/0.241687=  1.033683
0.213094: 387: 0.881693; 0.004816*  46.159231= 0.222309;  0.222309/0.213094=  1.043243
0.187893: 403: 0.881738; 0.004651*  42.242681= 0.196460;  0.196460/0.187893=  1.045599
0.165745: 418: 0.882123; 0.004487*  38.629134= 0.173325;  0.173325/0.165745=  1.045736
0.146457: 433: 0.883632; 0.004262*  35.514456= 0.151366;  0.151366/0.146457=  1.033516
0.129560: 446: 0.884628; 0.004100*  32.729877= 0.134177;  0.134177/0.129560=  1.035632
0.114669: 460: 0.885062; 0.003994*  30.042969= 0.119999;  0.119999/0.114669=  1.046480
0.101603: 472: 0.886054; 0.003862*  27.684161= 0.106919;  0.106919/0.101603=  1.052321
0.090118: 485: 0.886960; 0.003748*  25.488851= 0.095521;  0.095521/0.090118=  1.059959
0.080036: 497: 0.888132; 0.003625*  23.532157= 0.085298;  0.085298/0.080036=  1.065744
0.071146: 508: 0.888923; 0.003536*  21.690249= 0.076687;  0.076687/0.071146=  1.077875
0.063279: 520: 0.889425; 0.003471*  20.035725= 0.069550;  0.069550/0.063279=  1.099096
0.056326: 530: 0.890113; 0.003400*  18.517786= 0.062961;  0.062961/0.056326=  1.117798
0.050168: 541: 0.890673; 0.003341*  17.009452= 0.056831;  0.056831/0.050168=  1.132825
0.044759: 551: 0.892187; 0.003227*  15.696702= 0.050652;  0.050652/0.044759=  1.131653
0.039999: 561: 0.893662; 0.003120*  14.551937= 0.045403;  0.045403/0.039999=  1.135097
0.035825: 571: 0.895645; 0.002988*  13.428209= 0.040119;  0.040119/0.035825=  1.119842
0.032133: 580: 0.896940; 0.002900*  12.409637= 0.035989;  0.035989/0.032133=  1.120003
0.028815: 590: 0.896755; 0.002900*  11.497736= 0.033346;  0.033346/0.028815=  1.157241
0.025842: 599: 0.896818; 0.002887*  10.596376= 0.030595;  0.030595/0.025842=  1.183906
0.023212: 607: 0.898235; 0.002798*   9.828836= 0.027504;  0.027504/0.023212=  1.184898
0.020849: 616: 0.898169; 0.002795*   9.063210= 0.025331;  0.025331/0.020849=  1.215000
0.018737: 625: 0.898694; 0.002759*   8.376355= 0.023111;  0.023111/0.018737=  1.233478
0.016851: 633: 0.899341; 0.002717*   7.722979= 0.020987;  0.020987/0.016851=  1.245477
0.015194: 641: 0.901693; 0.002584*   7.145260= 0.018463;  0.018463/0.015194=  1.215169
0.013698: 649: 0.901566; 0.002587*   6.599119= 0.017070;  0.017070/0.013698=  1.246145
0.012363: 657: 0.902537; 0.002531*   6.106383= 0.015455;  0.015455/0.012363=  1.250093
0.011164: 664: 0.902970; 0.002505*   5.663624= 0.014186;  0.014186/0.011164=  1.270733
0.010086: 672: 0.903427; 0.002478*   5.208986= 0.012907;  0.012907/0.010086=  1.279697
0.009114: 679: 0.903700; 0.002461*   4.811537= 0.011840;  0.011840/0.009114=  1.299097
0.008254: 686: 0.905581; 0.002361*   4.466979= 0.010547;  0.010547/0.008254=  1.277819
0.007482: 693: 0.906493; 0.002313*   4.103365= 0.009490;  0.009490/0.007482=  1.268341
0.006786: 700: 0.906976; 0.002287*   3.812346= 0.008717;  0.008717/0.006786=  1.284580
0.006155: 707: 0.907000; 0.002284*   3.500032= 0.007993;  0.007993/0.006155=  1.298701
0.005594: 714: 0.908870; 0.002189*   3.257429= 0.007132;  0.007132/0.005594=  1.274887
0.005079: 721: 0.907992; 0.002232*   3.003103= 0.006702;  0.006702/0.005079=  1.319419
0.004621: 727: 0.909739; 0.002145*   2.778102= 0.005958;  0.005958/0.004621=  1.289355
0.004197: 733: 0.908210; 0.002219*   2.550528= 0.005659;  0.005659/0.004197=  1.348407
0.003814: 740: 0.908862; 0.002186*   2.351551= 0.005140;  0.005140/0.003814=  1.347502
0.003470: 746: 0.909802; 0.002139*   2.182810= 0.004669;  0.004669/0.003470=  1.345433
0.003160: 752: 0.910675; 0.002096*   2.006159= 0.004205;  0.004205/0.003160=  1.330623
0.002877: 758: 0.910531; 0.002102*   1.854395= 0.003899;  0.003899/0.002877=  1.354885
0.002622: 765: 0.911065; 0.002076*   1.719444= 0.003570;  0.003570/0.002622=  1.361757
0.002389: 771: 0.911263; 0.002066*   1.578140= 0.003261;  0.003261/0.002389=  1.364954
0.002180: 776: 0.912653; 0.002000*   1.455476= 0.002911;  0.002911/0.002180=  1.335189
0.001990: 782: 0.912628; 0.002001*   1.345347= 0.002692;  0.002692/0.001990=  1.352832
0.001817: 788: 0.913183; 0.001975*   1.238072= 0.002445;  0.002445/0.001817=  1.345420
0.001660: 794: 0.913329; 0.001967*   1.144083= 0.002251;  0.002251/0.001660=  1.356349
0.001518: 799: 0.914743; 0.001902*   1.059208= 0.002015;  0.002015/0.001518=  1.327156
0.001386: 805: 0.913084; 0.001978*   0.974072= 0.001927;  0.001927/0.001386=  1.390230
0.001268: 810: 0.915089; 0.001886*   0.900433= 0.001698;  0.001698/0.001268=  1.338720
