# Old comments in file ./phase1_ab_original/dpm_alphaBar_3-100-time_quadratic.txt
# order     : 3
# steps     : 100
# skip_type : time_quadratic
# data_type : alpha_bar
# alpha_bar : timestep
# 
# Old alpha_bar and its timestep, and estimated timestep in vs
# 0.99981529  :    0.00171 :    0
# 0.99969620  :    0.00260 :    1
# 0.99953145  :    0.00368 :    2
# 0.99930996  :    0.00495 :    3
# 0.99901235  :    0.00641 :    5
# 0.99862993  :    0.00805 :    7
# 0.99813807  :    0.00988 :    8
# 0.99751961  :    0.01190 :   10
# 0.99675131  :    0.01411 :   13
# 0.99580753  :    0.01650 :   15
# 0.99466693  :    0.01908 :   18
# 0.99329579  :    0.02185 :   20
# 0.99166685  :    0.02481 :   23
# 0.98974973  :    0.02795 :   26
# 0.98750734  :    0.03129 :   30
# 0.98490953  :    0.03481 :   33
# 0.98191702  :    0.03851 :   37
# 0.97849500  :    0.04241 :   41
# 0.97460449  :    0.04649 :   45
# 0.97020745  :    0.05076 :   49
# 0.96526349  :    0.05522 :   54
# 0.95973396  :    0.05986 :   58
# 0.95357776  :    0.06469 :   63
# 0.94675821  :    0.06971 :   68
# 0.93923765  :    0.07492 :   73
# 0.93097502  :    0.08032 :   79
# 0.92194039  :    0.08590 :   84
# 0.91209573  :    0.09167 :   90
# 0.90141374  :    0.09763 :   96
# 0.88986635  :    0.10377 :  102
# 0.87742943  :    0.11010 :  109
# 0.86408037  :    0.11662 :  115
# 0.84980732  :    0.12333 :  122
# 0.83459920  :    0.13023 :  129
# 0.81845039  :    0.13731 :  136
# 0.80136335  :    0.14458 :  143
# 0.78334761  :    0.15204 :  151
# 0.76441401  :    0.15969 :  158
# 0.74458891  :    0.16752 :  166
# 0.72390139  :    0.17554 :  174
# 0.70238960  :    0.18375 :  182
# 0.68009895  :    0.19214 :  191
# 0.65708250  :    0.20073 :  199
# 0.63340271  :    0.20950 :  208
# 0.60912895  :    0.21846 :  217
# 0.58433783  :    0.22760 :  226
# 0.55911332  :    0.23694 :  235
# 0.53354198  :    0.24646 :  245
# 0.50772280  :    0.25617 :  255
# 0.48175344  :    0.26606 :  265
# 0.45573676  :    0.27615 :  275
# 0.42977899  :    0.28642 :  285
# 0.40398845  :    0.29688 :  295
# 0.37847048  :    0.30752 :  306
# 0.35333231  :    0.31836 :  317
# 0.32867697  :    0.32938 :  328
# 0.30460387  :    0.34059 :  339
# 0.28120822  :    0.35198 :  350
# 0.25857562  :    0.36357 :  362
# 0.23678829  :    0.37534 :  374
# 0.21591711  :    0.38730 :  386
# 0.19602349  :    0.39945 :  398
# 0.17716001  :    0.41178 :  410
# 0.15936618  :    0.42430 :  423
# 0.14267248  :    0.43701 :  436
# 0.12709635  :    0.44991 :  448
# 0.11264504  :    0.46299 :  461
# 0.09931426  :    0.47626 :  475
# 0.08708974  :    0.48972 :  488
# 0.07594710  :    0.50337 :  502
# 0.06585332  :    0.51721 :  516
# 0.05676719  :    0.53123 :  530
# 0.04864064  :    0.54544 :  544
# 0.04142054  :    0.55984 :  558
# 0.03504879  :    0.57442 :  573
# 0.02946457  :    0.58919 :  588
# 0.02460498  :    0.60415 :  603
# 0.02040648  :    0.61930 :  618
# 0.01680579  :    0.63464 :  633
# 0.01374107  :    0.65016 :  649
# 0.01115256  :    0.66587 :  664
# 0.00898346  :    0.68177 :  680
# 0.00718039  :    0.69785 :  696
# 0.00569389  :    0.71413 :  713
# 0.00447862  :    0.73059 :  729
# 0.00349358  :    0.74723 :  746
# 0.00270215  :    0.76407 :  763
# 0.00207191  :    0.78109 :  780
# 0.00157460  :    0.79830 :  797
# 0.00118584  :    0.81570 :  814
# 0.00088481  :    0.83329 :  832
# 0.00065396  :    0.85106 :  850
# 0.00047868  :    0.86902 :  868
# 0.00034693  :    0.88717 :  886
# 0.00024891  :    0.90551 :  904
# 0.00017675  :    0.92403 :  923
# 0.00012419  :    0.94274 :  941
# 0.00008633  :    0.96164 :  960
# 0.00005936  :    0.98073 :  979
# 0.00004036  :    1.00000 :  998
# 
# lr           : 4e-06
# lp           : 0.1
# n_epochs     : 1000
# aa_low       : 0.0001
# aa_low_lambda: 1.0e+07
# beta_schedule: linear
# torch.seed() : 2353793152947813237
# order from param    : None
# order from file     : 3
# order final         : 3
# skip_type from param: None
# skip_type from file : time_quadratic
# skip_type final     : time_quadratic
# Epoch       : 000800; loss:819.189966 = 729.902533 + 89.287434
# loss_var    : 3360.899418 => 729.902533
# model.lp    : 0.1
# model.out_ch: 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.436082: 282: 0.918725; 0.0     *   0.0     = 0.0     ;  0.0     /0.436082=  0.0     
0.424936: 287: 0.974442; 0.0     *   0.0     = 0.0     ;  0.0     /0.424936=  0.0     
0.417560: 290: 0.982642; 0.006950* 235.329497= 1.635499;  1.635499/0.417560=  3.916798
0.405437: 295: 0.970968; 0.0     *   0.0     = 0.0     ;  0.0     /0.405437=  0.0     
0.368386: 310: 0.908614; 0.0     *   0.0     = 0.0     ;  0.0     /0.368386=  0.0     
0.365476: 312: 0.992101; 0.006818* 213.368831= 1.454848;  1.454848/0.365476=  3.980689
0.334184: 325: 0.914378; 0.0     *   0.0     = 0.0     ;  0.0     /0.334184=  0.0     
0.320297: 332: 0.958446; 0.0     *   0.0     = 0.0     ;  0.0     /0.320297=  0.0     
0.318100: 333: 0.993141; 0.006827* 188.185955= 1.284656;  1.284656/0.318100=  4.038528
0.283365: 349: 0.890804; 0.0     *   0.0     = 0.0     ;  0.0     /0.283365=  0.0     
0.279912: 351: 0.987814; 0.0     *   0.0     = 0.0     ;  0.0     /0.279912=  0.0     
0.276069: 353: 0.986272; 0.006651* 168.323651= 1.119590;  1.119590/0.276069=  4.055470
0.258388: 362: 0.935952; 0.0     *   0.0     = 0.0     ;  0.0     /0.258388=  0.0     
0.246192: 369: 0.952800; 0.0     *   0.0     = 0.0     ;  0.0     /0.246192=  0.0     
0.239948: 372: 0.974640; 0.006175* 154.167270= 0.951976;  0.951976/0.239948=  3.967421
0.214779: 386: 0.895104; 0.0     *   0.0     = 0.0     ;  0.0     /0.214779=  0.0     
0.208610: 390: 0.971277; 0.0     *   0.0     = 0.0     ;  0.0     /0.208610=  0.0     
0.207621: 391: 0.995261; 0.006272* 136.888447= 0.858629;  0.858629/0.207621=  4.135561
0.187201: 404: 0.901648; 0.0     *   0.0     = 0.0     ;  0.0     /0.187201=  0.0     
0.183663: 406: 0.981098; 0.0     *   0.0     = 0.0     ;  0.0     /0.183663=  0.0     
0.179900: 408: 0.979514; 0.005928* 124.722788= 0.739297;  0.739297/0.179900=  4.109487
0.169538: 416: 0.942402; 0.0     *   0.0     = 0.0     ;  0.0     /0.169538=  0.0     
0.162337: 421: 0.957526; 0.0     *   0.0     = 0.0     ;  0.0     /0.162337=  0.0     
0.156706: 425: 0.965311; 0.005345* 114.757683= 0.613367;  0.613367/0.156706=  3.914131
0.149775: 430: 0.955773; 0.0     *   0.0     = 0.0     ;  0.0     /0.149775=  0.0     
0.143501: 435: 0.958107; 0.0     *   0.0     = 0.0     ;  0.0     /0.143501=  0.0     
0.136656: 440: 0.952301; 0.005128* 104.929308= 0.538075;  0.538075/0.136656=  3.937444
0.129958: 446: 0.950987; 0.0     *   0.0     = 0.0     ;  0.0     /0.129958=  0.0     
0.122905: 452: 0.945729; 0.0     *   0.0     = 0.0     ;  0.0     /0.122905=  0.0     
0.115565: 459: 0.940282; 0.007393*  94.560160= 0.699108;  0.699108/0.115565=  6.049458
0.108040: 466: 0.934880; 0.0     *   0.0     = 0.0     ;  0.0     /0.108040=  0.0     
0.100391: 474: 0.929203; 0.0     *   0.0     = 0.0     ;  0.0     /0.100391=  0.0     
0.092699: 482: 0.923381; 0.012154*  82.213453= 0.999187;  0.999187/0.092699= 10.778835
0.085054: 491: 0.917530; 0.0     *   0.0     = 0.0     ;  0.0     /0.085054=  0.0     
0.077530: 500: 0.911533; 0.0     *   0.0     = 0.0     ;  0.0     /0.077530=  0.0     
0.070197: 510: 0.905421; 0.018326*  69.068330= 1.265722;  1.265722/0.070197= 18.031007
0.063123: 520: 0.899224; 0.0     *   0.0     = 0.0     ;  0.0     /0.063123=  0.0     
0.056364: 530: 0.892926; 0.0     *   0.0     = 0.0     ;  0.0     /0.056364=  0.0     
0.049968: 541: 0.886517; 0.025970*  55.507672= 1.441545;  1.441545/0.049968= 28.849590
0.043972: 553: 0.880018; 0.0     *   0.0     = 0.0     ;  0.0     /0.043972=  0.0     
0.038407: 565: 0.873424; 0.0     *   0.0     = 0.0     ;  0.0     /0.038407=  0.0     
0.033288: 577: 0.866727; 0.035217*  42.421018= 1.493956;  1.493956/0.033288= 44.879708
0.028626: 590: 0.859947; 0.0     *   0.0     = 0.0     ;  0.0     /0.028626=  0.0     
0.024420: 603: 0.853080; 0.0     *   0.0     = 0.0     ;  0.0     /0.024420=  0.0     
0.020662: 617: 0.846123; 0.046217*  30.615816= 1.414976;  1.414976/0.020662= 68.480393
0.017337: 631: 0.839079; 0.0     *   0.0     = 0.0     ;  0.0     /0.017337=  0.0     
0.014424: 645: 0.831954; 0.0     *   0.0     = 0.0     ;  0.0     /0.014424=  0.0     
0.011896: 660: 0.824750; 0.059117*  20.729766= 1.225489;  1.225489/0.011896=103.015417
0.009725: 674: 0.817450; 0.0     *   0.0     = 0.0     ;  0.0     /0.009725=  0.0     
0.007878: 690: 0.810085; 0.0     *   0.0     = 0.0     ;  0.0     /0.007878=  0.0     
0.006323: 705: 0.802619; 0.074062*  12.941519= 0.958479;  0.958479/0.006323=151.591237
0.005027: 721: 0.795134; 0.0     *   0.0     = 0.0     ;  0.0     /0.005027=  0.0     
0.003960: 737: 0.787585; 0.0     *   0.0     = 0.0     ;  0.0     /0.003960=  0.0     
0.003088: 754: 0.779911; 0.091087*   7.367897= 0.671117;  0.671117/0.003088=217.323604
