# Old comments in file ../exp/dpm_alphaBar/dpm_alphaBar_1-100-time_uniform.txt
# order     : 1
# steps     : 100
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99780953    9
# 0.99374515   19
# 0.98773104   29
# 0.97980201   39
# 0.97000456   49
# 0.95839578   59
# 0.94504291   69
# 0.93002242   79
# 0.91341996   89
# 0.89532876   99
# 0.87584955  109
# 0.85508835  119
# 0.83315718  129
# 0.81017196  139
# 0.78625154  149
# 0.76151741  159
# 0.73609179  169
# 0.71009684  179
# 0.68365443  189
# 0.65688461  199
# 0.62990409  209
# 0.60282707  219
# 0.57576317  229
# 0.54881668  239
# 0.52208734  249
# 0.49566865  259
# 0.46964699  269
# 0.44410276  279
# 0.41910926  289
# 0.39473221  299
# 0.37103009  309
# 0.34805411  319
# 0.32584825  329
# 0.30444932  339
# 0.28388688  349
# 0.26418364  359
# 0.24535610  369
# 0.22741453  379
# 0.21036287  389
# 0.19420020  399
# 0.17892064  409
# 0.16451302  419
# 0.15096261  429
# 0.13825075  439
# 0.12635562  449
# 0.11525249  459
# 0.10491432  469
# 0.09531191  479
# 0.08641478  489
# 0.07819104  499
# 0.07060788  509
# 0.06363231  519
# 0.05723079  529
# 0.05136989  539
# 0.04601666  549
# 0.04113853  559
# 0.03670358  569
# 0.03268099  579
# 0.02904078  589
# 0.02575418  599
# 0.02279360  609
# 0.02013281  619
# 0.01774685  629
# 0.01561221  639
# 0.01370668  649
# 0.01200952  659
# 0.01050132  669
# 0.00916405  679
# 0.00798096  689
# 0.00693661  699
# 0.00601678  709
# 0.00520841  719
# 0.00449956  729
# 0.00387935  739
# 0.00333788  749
# 0.00286620  759
# 0.00245621  769
# 0.00210062  779
# 0.00179288  789
# 0.00152714  799
# 0.00129816  809
# 0.00110129  819
# 0.00093239  829
# 0.00078780  839
# 0.00066428  849
# 0.00055900  859
# 0.00046946  869
# 0.00039346  879
# 0.00032910  889
# 0.00027471  899
# 0.00022884  909
# 0.00019025  919
# 0.00015784  929
# 0.00013069  939
# 0.00010799  949
# 0.00008906  959
# 0.00007329  969
# 0.00006020  979
# 0.00004934  989
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000.0
# beta_schedule: linear
# torch.seed() : 8079376260256798063
# alpha_bar_dir: ../exp/dpm_alphaBar
# Epoch        : 009999; loss:165.774297 = 165.771061 + 0.003235
# loss_var     : 221.595616 => 165.771061
# model.learning_portion: 0.01
# model.out_channels    : 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.306698: 338: 0.934958; 0.001602*  60.235757= 0.096469;  0.096469/0.306698=  0.314542
0.286182: 348: 0.933109; 0.001645*  57.061405= 0.093872;  0.093872/0.286182=  0.328015
0.266510: 358: 0.931257; 0.001691*  54.221156= 0.091679;  0.091679/0.266510=  0.344001
0.247696: 368: 0.929407; 0.001739*  51.236918= 0.089080;  0.089080/0.247696=  0.359635
0.229754: 378: 0.927565; 0.001788*  48.612055= 0.086921;  0.086921/0.229754=  0.378323
0.212691: 388: 0.925734; 0.001839*  46.108536= 0.084801;  0.084801/0.212691=  0.398705
0.196505: 398: 0.923897; 0.001893*  43.561655= 0.082452;  0.082452/0.196505=  0.419591
0.181190: 408: 0.922064; 0.001948*  41.282184= 0.080434;  0.080434/0.181190=  0.443921
0.166739: 417: 0.920245; 0.002006*  38.869095= 0.077956;  0.077956/0.166739=  0.467530
0.153135: 427: 0.918409; 0.002066*  36.699716= 0.075821;  0.075821/0.153135=  0.495125
0.140363: 437: 0.916597; 0.002127*  34.469097= 0.073332;  0.073332/0.140363=  0.522445
0.128402: 447: 0.914787; 0.002191*  32.355470= 0.070899;  0.070899/0.128402=  0.552165
0.117227: 457: 0.912963; 0.002258*  30.540921= 0.068966;  0.068966/0.117227=  0.588310
0.106812: 467: 0.911161; 0.002326*  28.615579= 0.066567;  0.066567/0.106812=  0.623211
0.097130: 477: 0.909348; 0.002397*  26.825762= 0.064312;  0.064312/0.097130=  0.662131
0.088149: 487: 0.907542; 0.002471*  25.124370= 0.062073;  0.062073/0.088149=  0.704185
0.079840: 497: 0.905739; 0.002546*  23.502069= 0.059841;  0.059841/0.079840=  0.749509
0.072171: 507: 0.903939; 0.002624*  21.899264= 0.057466;  0.057466/0.072171=  0.796247
0.065109: 517: 0.902149; 0.002704*  20.398653= 0.055155;  0.055155/0.065109=  0.847122
0.058620: 527: 0.900346; 0.002787*  18.993213= 0.052932;  0.052932/0.058620=  0.902963
0.052674: 537: 0.898564; 0.002871*  17.617759= 0.050585;  0.050585/0.052674=  0.960331
0.047237: 547: 0.896785; 0.002958*  16.355058= 0.048376;  0.048376/0.047237=  1.024115
0.042278: 557: 0.895006; 0.003047*  15.140810= 0.046134;  0.046134/0.042278=  1.091220
0.037763: 566: 0.893215; 0.003139*  14.000007= 0.043951;  0.043951/0.037763=  1.163865
0.033664: 576: 0.891446; 0.003233*  12.805530= 0.041399;  0.041399/0.033664=  1.229784
0.029950: 586: 0.889672; 0.003329*  11.819666= 0.039350;  0.039350/0.029950=  1.313879
0.026593: 596: 0.887906; 0.003427*  10.836199= 0.037140;  0.037140/0.026593=  1.396647
0.023565: 606: 0.886137; 0.003528*   9.913183= 0.034977;  0.034977/0.023565=  1.484308
0.020840: 616: 0.884383; 0.003631*   9.060246= 0.032895;  0.032895/0.020840=  1.578438
0.018394: 626: 0.882619; 0.003736*   8.281908= 0.030942;  0.030942/0.018394=  1.682174
0.016203: 636: 0.880867; 0.003843*   7.495040= 0.028804;  0.028804/0.016203=  1.777719
0.014244: 646: 0.879108; 0.003953*   6.795798= 0.026863;  0.026863/0.014244=  1.885935
0.012497: 656: 0.877358; 0.004064*   6.165570= 0.025060;  0.025060/0.012497=  2.005267
0.010942: 666: 0.875613; 0.004178*   5.548191= 0.023180;  0.023180/0.010942=  2.118365
0.009562: 676: 0.873869; 0.004294*   5.004530= 0.021488;  0.021488/0.009562=  2.247180
0.008340: 686: 0.872129; 0.004411*   4.486995= 0.019794;  0.019794/0.008340=  2.373513
0.007259: 696: 0.870392; 0.004531*   4.009965= 0.018170;  0.018170/0.007259=  2.503239
0.006305: 706: 0.868653; 0.004653*   3.574051= 0.016631;  0.016631/0.006305=  2.637714
0.005466: 715: 0.866928; 0.004777*   3.184752= 0.015212;  0.015212/0.005466=  2.783006
0.004729: 725: 0.865199; 0.004902*   2.824477= 0.013847;  0.013847/0.004729=  2.927846
0.004084: 735: 0.863474; 0.005030*   2.498929= 0.012570;  0.012570/0.004084=  3.078065
0.003519: 745: 0.861753; 0.005160*   2.210556= 0.011405;  0.011405/0.003519=  3.240976
0.003027: 755: 0.860032; 0.005291*   1.937040= 0.010249;  0.010249/0.003027=  3.386374
0.002598: 765: 0.858316; 0.005424*   1.703304= 0.009239;  0.009239/0.002598=  3.556647
0.002225: 775: 0.856612; 0.005559*   1.482601= 0.008241;  0.008241/0.002225=  3.703528
0.001902: 785: 0.854904; 0.005695*   1.296314= 0.007383;  0.007383/0.001902=  3.880885
0.001623: 795: 0.853184; 0.005835*   1.125401= 0.006567;  0.006567/0.001623=  4.045868
0.001382: 805: 0.851489; 0.005975*   0.970814= 0.005800;  0.005800/0.001382=  4.196983
